CONDITION,OUTCOME,YEAR,Geography,SRANum,RegionNum,RegionName,UrbanicitySort,UrbanicityCat,SESSort,Socioeconomic_Category,SDNUM,Supervisor_District,Total_Cases,Total_Rate,Age_Adjusted_Rate,Male_Cases,Male_Rate,Female_Cases,Female_Rate,White_Cases,White_Rate,Black_Cases,Black_Rate,Hispanic_Cases,Hispanic_Rate,Asian_Pacific_Islander_Cases,Asian_Pacific_Islander_Rate,Other_Race_Ethnicity_Cases,Other_Race_Ethnicity_Rate,Age_Group_0_to_14_Cases,Age_Group_0_to_14_Rate,Age_Group_15_to_24_Cases,Age_Group_15_to_24_Rate,Age_Group_25_to_44_Cases,Age_Group_25_to_44_Rate,Age_Group_45_to_64_Cases,Age_Group_45_to_64_Rate,Age_Group_65Plus_Cases,Age_Group_65Plus_Rate
ADD,Hospitalization,2010,Jamul,30,5,EAST,1,Rural Area,6,Highest Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,La Mesa,33,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,8,13.5377534098216,15.0753777295917,,,,,5,13.4978268498772,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Laguna-Pine Valley,61,5,EAST,1,Rural Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Lakeside,36,5,EAST,2,Exurban Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Lemon Grove,32,5,EAST,5,Very Urban Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Mountain Empire,62,5,EAST,1,Rural Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Santee,35,5,EAST,3,Suburban Area,4,Moderately High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Spring Valley,31,5,EAST,4,Urban Area,4,Moderately High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,North Central Region,99,99,REGION N CENTRAL,99,,99,,99,North Central Region,36,5.96076821056083,7.6784030280684,24,7.85527956612672,12,4.02115125560448,17,4.6563988506912,7,37.2995151063036,9,10.5062862612797,,,,,26,27.4911182541025,8,7.79833505546566,,,,,,
ADD,Hospitalization,2010,Coastal,11,2,N CENTRAL,3,Suburban Area,5,High Income,4,Supervisorial District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Del Mar-Mira Mesa,13,2,N CENTRAL,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,6,3.80785560611542,4.19019699341305,5,6.32359078779294,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Elliott-Navajo,17,2,N CENTRAL,2,Exurban Area,5,High Income,3,Supervisorial District 3,6,6.73355329607434,7.49490553022192,,,,,,,,,,,,,,,5,29.2997363023733,,,,,,,,
ADD,Hospitalization,2010,Kearny Mesa,10,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,12,7.93608803766996,10.9495779282388,7,9.2903499807557,5,6.59100196411859,7,8.2994439372562,,,,,,,,,9,38.7296669248644,,,,,,,,
ADD,Hospitalization,2010,Miramar,16,2,N CENTRAL,99,,99,,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Peninsula,2,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,University,12,2,N CENTRAL,4,Urban Area,4,Moderately High Income,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,North Coastal Region,99,99,REGION N COASTAL,99,,99,,99,North Coastal Region,6,1.18613409245915,1.2834729149333,,,,,5,1.67145818011633,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Carlsbad,41,1,N COASTAL,3,Suburban Area,5,High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Oceanside,42,1,N COASTAL,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Pendleton,43,1,N COASTAL,99,,99,,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,San Dieguito,40,1,N COASTAL,2,Exurban Area,6,Highest Income,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Vista,52,1,N COASTAL,3,Suburban Area,2,Low Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,North Inland Region,99,99,REGION N INLAND,99,,99,,99,North Inland Region,11,1.93149174375075,1.99131100393797,9,3.20859046620819,,,7,2.22373294873343,,,,,,,,,8,6.69332842489249,,,,,,,,
ADD,Hospitalization,2010,Anza-Borrego Springs,63,6,N INLAND,1,Rural Area,1,Lowest Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Escondido,50,6,N INLAND,2,Exurban Area,3,Moderately Low Income,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Fallbrook,55,6,N INLAND,1,Rural Area,4,Moderately High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,North San Diego,14,6,N INLAND,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Palomar-Julian,60,6,N INLAND,1,Rural Area,2,Low Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Pauma,54,6,N INLAND,1,Rural Area,5,High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Poway,15,6,N INLAND,2,Exurban Area,6,Highest Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,Ramona,39,6,N INLAND,1,Rural Area,5,High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2010,San Marcos,51,6,N INLAND,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Coastal,11,2,N CENTRAL,3,Suburban Area,5,High Income,4,Supervisorial District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Del Mar-Mira Mesa,13,2,N CENTRAL,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,5,3.15493242134753,3.79917397890059,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Elliott-Navajo,17,2,N CENTRAL,2,Exurban Area,5,High Income,3,Supervisorial District 3,8,8.94604417109309,9.85547838835995,6,13.8283896840213,,,6,10.0175306786877,,,,,,,,,6,35.3815308409011,,,,,,,,
ADD,Hospitalization,2011,Kearny Mesa,10,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,10,6.59213163168442,8.91070572175428,8,10.5871921443034,,,5,5.9564228107168,,,,,,,,,7,29.7872340425532,,,,,,,,
ADD,Hospitalization,2011,Miramar,16,2,N CENTRAL,99,,99,,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Peninsula,2,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,University,12,2,N CENTRAL,4,Urban Area,4,Moderately High Income,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,North Coastal Region,99,99,REGION N COASTAL,99,,99,,99,North Coastal Region,15,2.94217450233118,2.96771659419261,8,3.08071472581639,7,2.7983545675143,11,3.6786221887802,,,,,,,,,8,7.96075348531738,6,7.11102683227458,,,,,,
ADD,Hospitalization,2011,Carlsbad,41,1,N COASTAL,3,Suburban Area,5,High Income,5,Supervisorial District 5,6,5.17884270128435,5.8875344247193,,,,,5,5.90444250253891,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Oceanside,42,1,N COASTAL,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,5,3.12314563228083,3.50067336828435,,,,,,,,,,,,,,,5,15.3275497378989,,,,,,,,
ADD,Hospitalization,2011,Pendleton,43,1,N COASTAL,99,,99,,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,San Dieguito,40,1,N COASTAL,2,Exurban Area,6,Highest Income,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Vista,52,1,N COASTAL,3,Suburban Area,2,Low Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,North Inland Region,99,99,REGION N INLAND,99,,99,,99,North Inland Region,25,4.35111780216338,4.42019806763907,16,5.65315092499682,9,3.08708671626586,18,5.73469394257023,,,,,,,,,13,10.955025407232,12,15.0485315141331,,,,,,
ADD,Hospitalization,2011,Anza-Borrego Springs,63,6,N INLAND,1,Rural Area,1,Lowest Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Escondido,50,6,N INLAND,2,Exurban Area,3,Moderately Low Income,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Fallbrook,55,6,N INLAND,1,Rural Area,4,Moderately High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,North San Diego,14,6,N INLAND,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,7,6.50466942340752,7.45188526800182,6,11.531143697269,,,5,7.96102283221348,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Palomar-Julian,60,6,N INLAND,1,Rural Area,2,Low Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Pauma,54,6,N INLAND,1,Rural Area,5,High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Poway,15,6,N INLAND,2,Exurban Area,6,Highest Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Ramona,39,6,N INLAND,1,Rural Area,5,High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,San Marcos,51,6,N INLAND,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,Valley Center,53,6,N INLAND,1,Rural Area,5,High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,South Region,99,99,REGION SOUTH,99,,99,,99,South Region,26,5.53833700780693,5.17082494468348,17,7.27294507215189,9,3.81821884333424,7,7.28112420557734,,,11,3.91307286497408,,,,,18,17.8810907465355,8,9.85306615102287,,,,,,
ADD,Hospitalization,2011,Chula Vista,21,4,SOUTH,5,Very Urban Area,1,Lowest Income,1,Supervisorial District 1,13,11.2153080327487,10.4071125691378,9,16.1209428960378,,,,,,,7,8.4822780975462,,,,,6,24.5911717693348,7,36.828536854843,,,,,,
ADD,Hospitalization,2011,Coronado,3,4,SOUTH,2,Exurban Area,6,Highest Income,1,Supervisorial District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,National City,4,4,SOUTH,5,Very Urban Area,1,Lowest Income,1,Supervisorial District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2011,South Bay,22,4,SOUTH,3,Suburban Area,2,Low Income,1,Supervisorial District 1,6,4.44030016429111,4.39043884783592,,,,,,,,,,,,,,,6,20.245647185855,,,,,,,,
ADD,Hospitalization,2011,Sweetwater,20,4,SOUTH,3,Suburban Area,6,Highest Income,1,Supervisorial District 1,7,5.12460101320683,4.62151608214334,5,7.52060646170507,,,,,,,,,,,,,6,19.1302129830379,,,,,,,,
ADD,Hospitalization,2011,Unknown,99,99,UNKNOWN,99,,99,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,San Diego County (Actual Rate),0,0,COUNTY,99,,99,,99,County Total,157,4.9945457651501,5.43818917423739,118,7.48758045183106,39,2.48806049942392,93,6.23190736571245,19,13.6315045593796,29,2.80132067780369,,,10,8.29428109318625,119,19.7594002440867,27,5.37082567493376,5,0.561765561748709,,,5,1.33498871934532
ADD,Hospitalization,2012,Central Region,99,99,REGION CENTRAL,99,,99,,99,Central Region,17,3.47821817021172,3.75743590493569,13,5.21021201555048,,,,,5,9.42560370991762,6,2.8254041505187,,,,,10,10.8399908944076,5,6.36472415285522,,,,,,
ADD,Hospitalization,2012,Central San Diego,1,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,6,3.5966910442393,5.70338992481313,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,Mid-City,6,3,CENTRAL,5,Very Urban Area,1,Lowest Income,4,Supervisorial District 4,7,4.24491974069605,3.91984303857725,6,7.30753772516351,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,Southeastern San Diego,5,3,CENTRAL,5,Very Urban Area,2,Low Income,4,Supervisorial District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,East Region,99,99,REGION EAST,99,,99,,99,East Region,35,7.44704618232497,8.31156642674221,27,11.6589372231002,8,3.35566247069039,25,8.9870191495404,,,5,4.07458113305952,,,,,30,33.3603923182137,,,,,,,,
ADD,Hospitalization,2012,Alpine,38,5,EAST,1,Rural Area,5,High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,El Cajon,34,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,8,6.34683887756154,6.87233255881863,6,9.70936630202602,,,5,6.82072408806919,,,,,,,,,8,31.21707574043,,,,,,,,
ADD,Hospitalization,2012,Harbison Crest/El Cajon,37,5,EAST,99,,99,,2,Supervisorial District 2,12,8.5157114876948,9.43949517279617,9,13.0016468752709,,,8,9.42640335579959,,,,,,,,,11,39.5726157499011,,,,,,,,
ADD,Hospitalization,2012,Jamul,30,5,EAST,1,Rural Area,6,Highest Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,La Mesa,33,5,EAST,4,Urban Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,Laguna-Pine Valley,61,5,EAST,1,Rural Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,Lakeside,36,5,EAST,2,Exurban Area,3,Moderately Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,Lemon Grove,32,5,EAST,5,Very Urban Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,Mountain Empire,62,5,EAST,1,Rural Area,2,Low Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,Santee,35,5,EAST,3,Suburban Area,4,Moderately High Income,2,Supervisorial District 2,11,21.1742059672762,24.1764599362335,10,39.7109046144071,,,10,26.2308842431078,,,,,,,,,10,102.553584247769,,,,,,,,
ADD,Hospitalization,2012,Spring Valley,31,5,EAST,4,Urban Area,4,Moderately High Income,2,Supervisorial District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,North Central Region,99,99,REGION N CENTRAL,99,,99,,99,North Central Region,38,6.17792756542507,8.68431109022526,23,7.39640213273648,15,4.93208518697535,24,6.57595502046766,5,26.9179004037685,5,5.54557352321377,,,,,36,37.509768168794,,,,,,,,
ADD,Hospitalization,2012,Coastal,11,2,N CENTRAL,3,Suburban Area,5,High Income,4,Supervisorial District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,Del Mar-Mira Mesa,13,2,N CENTRAL,3,Suburban Area,6,Highest Income,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,Elliott-Navajo,17,2,N CENTRAL,2,Exurban Area,5,High Income,3,Supervisorial District 3,11,12.1872853375878,14.2506516982399,6,13.6933153798754,5,10.7663487005017,9,14.9947518368571,,,,,,,,,10,58.055152394775,,,,,,,,
ADD,Hospitalization,2012,Kearny Mesa,10,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,17,11.1518554719531,16.5880479957099,9,11.8541153537136,8,10.455056326616,9,10.7708325853588,,,,,,,,,17,69.6350305165281,,,,,,,,
ADD,Hospitalization,2012,Miramar,16,2,N CENTRAL,99,,99,,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,Peninsula,2,2,N CENTRAL,4,Urban Area,3,Moderately Low Income,4,Supervisorial District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,University,12,2,N CENTRAL,4,Urban Area,4,Moderately High Income,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,North Coastal Region,99,99,REGION N COASTAL,99,,99,,99,North Coastal Region,8,1.55520390667221,1.60905037581338,8,3.05289910931669,,,6,2.00570288186076,,,,,,,,,5,4.88658242198571,,,,,,,,
ADD,Hospitalization,2012,Carlsbad,41,1,N COASTAL,3,Suburban Area,5,High Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,Oceanside,42,1,N COASTAL,3,Suburban Area,3,Moderately Low Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,Pendleton,43,1,N COASTAL,99,,99,,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,San Dieguito,40,1,N COASTAL,2,Exurban Area,6,Highest Income,3,Supervisorial District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,Vista,52,1,N COASTAL,3,Suburban Area,2,Low Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADD,Hospitalization,2012,North Inland Region,99,99,REGION N INLAND,99,,99,,99,North Inland Region,30,5.15597689434888,5.2349114843032,23,8.02711069385647,7,2.3703101720168,21,6.69738961266764,,,,,,,,,14,11.7006961914234,9,10.851871947911,,,,,,
ADD,Hospitalization,2012,Anza-Borrego Springs,63,6,N INLAND,1,Rural Area,1,Lowest Income,5,Supervisorial District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
