"","Geography","ind_id","ind_definition","reportyear","race_eth_code","race_eth_name","geotype","geotypevalue","geoname","county_name","county_fips","region_name","region_code","cost_yr","median_income","affordability_ratio","LL95_affordability_ratio","UL95_affordability_ratio","se_food_afford","rse_food_afford","food_afford_decile","CA_RR_Affordability","ave_fam_size","version","CONDITION","OUTCOME","YEAR","SRANum","RegionNum","RegionName","UrbanicitySort","UrbanicityCat","SESSort","Socioeconomic_Category","SDNUM","Supervisor_District","Total_Cases","Total_Rate","Age_Adjusted_Rate","Male_Cases","Male_Rate","Female_Cases","Female_Rate","White_Cases","White_Rate","Black_Cases","Black_Rate","Hispanic_Cases","Hispanic_Rate","Asian_Pacific_Islander_Cases","Asian_Pacific_Islander_Rate","Other_Race_Ethnicity_Cases","Other_Race_Ethnicity_Rate","Age_Group_0_to_14_Cases","Age_Group_0_to_14_Rate","Age_Group_15_to_24_Cases","Age_Group_15_to_24_Rate","Age_Group_25_to_44_Cases","Age_Group_25_to_44_Rate","Age_Group_45_to_64_Cases","Age_Group_45_to_64_Rate","Age_Group_65Plus_Cases","Age_Group_65Plus_Rate"
"11","La Mesa",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","40004","La Mesa city","San Diego","06073","San Diego","09",5585.1887316,31354,0.1781332,0.1026896,0.2535768,0.0384916,21.6083307,7,0.6686618,2.69,41376.1896555,"Mood Disorders","Hospitalization",2010,33,5,"EAST",4,"Urban Area",2,"Low Income",2,"Supervisorial District 2",340,575.35451991742,563.547133804499,159,564.169889649789,181,585.552068842807,268,723.483519153416,25,603.573153066152,32,269.973846283641,NA,NA,NA,NA,19,197.341088491899,73,865.544225752905,106,620.717924694033,115,748.697916666667,27,314.13612565445
"12","Lakeside",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","39766","Lakeside CDP","San Diego","06073","San Diego","09",5344.712292,30592,0.1747095,0.111958,0.2374609,0.0320161,18.3253108,8,0.6558101,2.61,41376.1896555,"Mood Disorders","Hospitalization",2010,36,5,"EAST",2,"Exurban Area",3,"Moderately Low Income",2,"Supervisorial District 2",181,323.09889325241,316.332727673019,59,212.965636731158,122,430.85181522814,150,367.224031140598,NA,NA,18,173.694876001158,NA,NA,6,228.310502283105,8,69.6864111498258,37,462.5,55,379.755575502313,68,424.336973478939,13,215.51724137931
"13","Lemon Grove",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","41124","Lemon Grove city","San Diego","06073","San Diego","09",6586.8949596,27743,0.2374255,0.1487133,0.3261377,0.0452613,19.0633812,6,0.8912282,3.17,41376.1896555,"Mood Disorders","Hospitalization",2010,32,5,"EAST",5,"Very Urban Area",2,"Low Income",2,"Supervisorial District 2",117,392.472577236591,383.381556541814,52,358.645423822333,65,424.503657262278,83,876.729692616457,14,318.326512050932,15,119.932837610938,NA,NA,NA,NA,8,127.612059339608,36,788.781770376862,21,261.714855433699,39,510.337607956032,13,392.512077294686
"14","National City",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","50398","National City city","San Diego","06073","San Diego","09",7579.5503736,20000,0.3789775,0.3225566,0.4353984,0.0287862,7.5957448,3,1.4225746,3.58,41376.1896555,"Mood Disorders","Hospitalization",2010,4,4,"SOUTH",5,"Very Urban Area",1,"Lowest Income",1,"Supervisorial District 1",152,260.639939641277,267.133358808842,66,219.97800219978,86,303.725940314321,69,1015.75150890623,10,390.777647518562,55,148.108253669045,15,142.314990512334,NA,NA,8,65.6383327863472,32,261.224489795918,31,197.138314785374,68,567.091985655909,13,210.902011680727
"15","Oceanside",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","53322","Oceanside city","San Diego","06073","San Diego","09",6788.053632,32115,0.2113671,0.1702051,0.252529,0.021001,9.9357978,7,0.7934123,3.24,41376.1896555,"Mood Disorders","Hospitalization",2010,42,1,"N COASTAL",3,"Suburban Area",3,"Moderately Low Income",5,"Supervisorial District 5",556,348.109191084398,343.202453084544,221,278.843242152014,335,416.335255517996,410,552.248053662348,30,432.463600980251,71,118.532863653817,11,89.7666068222621,18,281.778334376957,52,161.822368830522,137,540.26342771512,156,349.258944163346,168,429.403946426746,43,233.214014535199
"16","Poway",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","58520","Poway city","San Diego","06073","San Diego","09",6254.4265284,43672,0.1432137,0.1244432,0.1619841,0.0095768,6.6870418,9,0.5375836,2.91,41376.1896555,"Mood Disorders","Hospitalization",2010,15,6,"N INLAND",2,"Exurban Area",6,"Highest Income",2,"Supervisorial District 2",221,256.050793062298,266.689214803013,80,189.708323452692,141,319.430914569221,179,308.812366296322,7,463.269358041032,20,193.685841564982,5,38.0662352493338,6,177.777777777778,20,112.917795844625,69,682.560094964883,48,230.73595154545,60,223.322291286709,24,221.81146025878
"17","Ramona",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","59346","Ramona CDP","San Diego","06073","San Diego","09",7083.5657952,17039,0.4157266,0,0.8829492,0.2383789,57.3402945,3,1.5605204,3.44,41376.1896555,"Mood Disorders","Hospitalization",2010,39,6,"N INLAND",1,"Rural Area",5,"High Income",2,"Supervisorial District 2",128,367.077717235446,383.518215793632,50,285.176524268522,78,449.904827824883,111,446.9498691363,NA,NA,7,85.2618757612668,NA,NA,NA,NA,13,185.555238367114,34,658.022063092704,47,591.865004407505,30,272.281720820476,NA,NA
"18","San Diego",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","66000","San Diego city","San Diego","06073","San Diego","09",6778.04439,28128,0.2409714,0.2186478,0.2632951,0.0113896,4.7265475,6,0.9045387,3.25,41376.1896555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436.194033248965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","San Marcos",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","68196","San Marcos city","San Diego","06073","San Diego","09",6841.3007784,29052,0.2354847,0.1951538,0.2758155,0.020577,8.7381311,6,0.883943,3.26,41376.1896555,"Mood Disorders","Hospitalization",2010,51,6,"N INLAND",3,"Suburban Area",3,"Moderately Low Income",5,"Supervisorial District 5",224,248.985716667593,249.068588337577,69,156.832439312665,155,337.183754269181,171,376.34526927394,12,681.044267877412,24,73.5925426223476,5,68.6436024162548,8,278.745644599303,23,114.844959304938,48,382.622558788362,57,225.706818721787,78,382.784511949747,18,153.035198095562
"20","Santee",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","70224","Santee city","San Diego","06073","San Diego","09",6412.262664,32917,0.1948009,0.1447236,0.2448783,0.0255497,13.115792,7,0.7312278,3.03,41376.1896555,"Mood Disorders","Hospitalization",2010,35,5,"EAST",3,"Suburban Area",4,"Moderately High Income",2,"Supervisorial District 2",236,461.379054172939,452.950316805472,92,371.477024953565,144,545.764638999431,200,526.634541959607,NA,NA,20,245.88148512417,6,288.184438040346,NA,NA,20,203.769740193581,68,971.706201771935,63,454.217736121125,71,481.323300115246,14,244.88368025188
"21","Spring Valley",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","73696","Spring Valley CDP","San Diego","06073","San Diego","09",6411.1378692,31821,0.2014751,0.1290684,0.2738817,0.0369422,18.3358489,7,0.7562805,3.13,41376.1896555,"Mood Disorders","Hospitalization",2010,31,5,"EAST",4,"Urban Area",4,"Moderately High Income",2,"Supervisorial District 2",268,330.860112838113,330.604288866051,110,279.053248433497,158,379.972103313934,192,501.855821004757,30,387.196695921528,36,138.185168125288,NA,NA,NA,NA,19,112.592592592593,67,554.406288787753,91,432.057734308233,75,347.753512310474,16,169.995750106247
"22","Valley Center",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","81736","Valley Center CDP","San Diego","06073","San Diego","09",7050.0036,34500,0.2043479,0.0207582,0.3879377,0.0936682,45.8376288,7,0.7670644,3.17,41376.1896555,"Mood Disorders","Hospitalization",2010,53,6,"N INLAND",1,"Rural Area",5,"High Income",5,"Supervisorial District 5",60,257.179597085298,297.507800122917,20,170.82336863683,40,344.174840819136,49,327.474436944463,NA,NA,NA,NA,NA,NA,5,319.488817891374,6,145.454545454545,12,388.22387576836,27,581.520568597889,12,156.026524509167,NA,NA
"23","Vista",757,"Food affordability for female-headed household with children under 18 years","2006-2010",9,"Total","PL","82996","Vista city","San Diego","06073","San Diego","09",7301.3579328,31036,0.2352545,0.1966536,0.2738553,0.0196943,8.3714923,6,0.8830789,3.53,41376.1896555,"Mood Disorders","Hospitalization",2010,52,1,"N COASTAL",3,"Suburban Area",2,"Low Income",5,"Supervisorial District 5",303,301.693666424382,297.594558952225,130,256.405199108499,173,347.864554009491,214,487.96059832178,13,480.236424085704,59,126.422250316056,5,120.598166907863,NA,NA,20,93.8570557041626,97,578.828022437045,79,275.184617528215,82,347.988456968257,25,247.671884287696
